Time,Status
11:25:51,Mask
11:25:51,No Mask
11:25:51,Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,Mask
11:25:52,No Mask
11:25:52,Mask
11:25:52,Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,No Mask
11:25:53,No Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,Mask
11:25:53,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,No Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,Mask
11:25:54,No Mask
11:25:54,Mask
11:25:54,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,No Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,No Mask
11:25:55,No Mask
11:25:55,Mask
11:25:55,No Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,No Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:55,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,Mask
11:25:56,No Mask
11:25:56,Mask
11:25:56,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:57,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:58,Mask
11:25:58,No Mask
11:25:58,No Mask
11:25:59,Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:25:59,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,No Mask
11:26:00,Mask
11:26:00,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:01,Mask
11:26:01,No Mask
11:26:01,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,Mask
11:26:02,No Mask
11:26:02,No Mask
11:26:02,No Mask
